date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
2021-11-17 16:31:08+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.589,1.709,1.649,0,1,1
2021-11-17 16:32:07+01,a85d3547-c83c-496b-aef7-039251357ea2,1.559,1.729,1.669,1,0,0
2021-11-17 16:33:09+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.569,1.709,1.649,1,0,0
2021-11-17 16:35:07+01,7859c737-7ba0-4506-9ebd-867609d63371,1.529,1.729,1.669,1,1,1
2021-11-17 16:41:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.559,1.709,1.649,1,0,0
2021-11-17 16:47:09+01,a85d3547-c83c-496b-aef7-039251357ea2,1.529,1.709,1.649,1,1,1
2021-11-17 16:52:07+01,17841c66-b61d-444a-8618-a551734246b6,1.529,1.709,1.649,1,0,0
2021-11-17 16:56:10+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.499,1.679,1.619,1,0,0
2021-11-17 17:13:08+01,7859c737-7ba0-4506-9ebd-867609d63371,1.559,1.759,1.699,1,1,1
2021-11-17 17:17:09+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.549,1.729,1.669,1,1,1
2021-11-17 17:28:06+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.519,1.699,1.639,1,1,1
2021-11-17 17:30:09+01,7859c737-7ba0-4506-9ebd-867609d63371,1.549,1.759,1.699,1,0,0
2021-11-17 17:30:09+01,a85d3547-c83c-496b-aef7-039251357ea2,1.559,1.759,1.699,1,1,1
2021-11-17 17:31:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.559,1.729,1.649,0,1,0
2021-11-17 17:33:09+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.579,1.729,1.669,1,0,1
2021-11-17 17:42:07+01,a85d3547-c83c-496b-aef7-039251357ea2,1.549,1.759,1.699,1,0,0
2021-11-17 17:48:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.579,1.709,1.649,0,1,1
2021-11-17 17:52:09+01,a85d3547-c83c-496b-aef7-039251357ea2,1.549,1.719,1.659,0,1,1
2021-11-17 17:53:09+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.499,1.679,1.619,1,1,1
2021-11-17 17:57:08+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.529,1.709,1.649,1,1,1
2021-11-17 18:04:07+01,a85d3547-c83c-496b-aef7-039251357ea2,1.529,1.719,1.659,1,0,0
2021-11-17 18:06:05+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.579,1.709,1.639,0,0,1
2021-11-17 18:08:09+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.579,1.699,1.639,0,1,0
2021-11-17 18:12:07+01,7859c737-7ba0-4506-9ebd-867609d63371,1.529,1.729,1.669,1,1,1
2021-11-17 18:19:09+01,a85d3547-c83c-496b-aef7-039251357ea2,1.529,1.709,1.649,0,1,1
2021-11-17 18:28:08+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.549,1.699,1.639,1,0,0
2021-11-17 18:28:08+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.489,1.679,1.619,1,0,0
2021-11-17 18:29:08+01,a85d3547-c83c-496b-aef7-039251357ea2,1.519,1.699,1.639,1,1,1
2021-11-17 18:36:05+01,7859c737-7ba0-4506-9ebd-867609d63371,1.519,1.729,1.669,1,0,0
2021-11-17 18:38:08+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.489,1.669,1.609,0,1,1
2021-11-17 18:44:08+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.519,1.699,1.639,1,1,1
2021-11-17 18:49:09+01,7859c737-7ba0-4506-9ebd-867609d63371,1.509,1.729,1.669,1,0,0
2021-11-17 18:52:07+01,17841c66-b61d-444a-8618-a551734246b6,1.519,1.699,1.639,1,1,1
2021-11-17 19:02:08+01,17841c66-b61d-444a-8618-a551734246b6,1.509,1.699,1.639,1,0,0
2021-11-17 19:04:07+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.509,1.699,1.639,1,0,0
2021-11-17 19:07:09+01,7859c737-7ba0-4506-9ebd-867609d63371,1.549,1.769,1.709,1,1,1
2021-11-17 19:23:11+01,7859c737-7ba0-4506-9ebd-867609d63371,1.549,1.759,1.699,0,1,1
2021-11-17 19:23:11+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.519,1.699,1.639,1,1,1
2021-11-17 19:23:11+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.579,1.729,1.669,1,1,1
2021-11-17 19:31:06+01,a85d3547-c83c-496b-aef7-039251357ea2,1.559,1.739,1.679,1,1,1
2021-11-17 19:34:09+01,a85d3547-c83c-496b-aef7-039251357ea2,1.559,1.769,1.709,0,1,1
2021-11-17 19:38:09+01,a85d3547-c83c-496b-aef7-039251357ea2,1.559,1.759,1.699,0,1,1
2021-11-17 19:45:08+01,a85d3547-c83c-496b-aef7-039251357ea2,1.529,1.719,1.659,1,1,1
2021-11-17 19:46:07+01,7859c737-7ba0-4506-9ebd-867609d63371,1.529,1.739,1.679,1,1,1
2021-11-17 19:53:08+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.489,1.679,1.619,1,1,1
2021-11-17 20:13:08+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.579,1.709,1.649,0,1,1
2021-11-17 20:17:07+01,7859c737-7ba0-4506-9ebd-867609d63371,1.509,1.719,1.659,1,1,1
2021-11-17 20:26:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.559,1.709,1.649,1,0,0
2021-11-17 20:28:09+01,a85d3547-c83c-496b-aef7-039251357ea2,1.509,1.699,1.639,1,1,1
2021-11-17 20:46:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.559,1.709,1.639,0,0,1
2021-11-17 20:48:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.559,1.699,1.639,0,1,0
2021-11-17 20:58:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.549,1.699,1.639,1,0,0
2021-11-17 21:31:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.549,1.689,1.629,0,1,1
2021-11-17 22:01:07+01,7859c737-7ba0-4506-9ebd-867609d63371,1.589,1.799,1.739,1,1,1
2021-11-17 22:05:08+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.599,1.799,1.739,1,1,1
2021-11-17 22:22:09+01,17841c66-b61d-444a-8618-a551734246b6,1.589,1.799,1.739,1,1,1
2021-11-17 22:44:09+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.589,1.799,1.739,1,0,0
2021-11-17 23:03:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.589,1.729,1.669,1,1,1
2021-11-17 23:03:07+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.529,1.719,1.659,1,1,1
